ID,generation,forecast_generation
14,5.8979232,5.2008151428
14,6.5606532,6.4918917042
14,7.1665172,7.1406965488
14,7.630068,6.90221544
14,7.891793,7.842504488
14,8.1801042,6.59051326
14,8.2301296,8.2377730778
14,8.129151,7.67885562
14,7.8696468,8.174102689
14,7.6885346,7.64277924
14,7.408666,7.154059937
14,6.8255824,6.6269168
14,6.4025346,6.045450411
14,5.6783712,5.25120672
14,4.4906002,4.7049357258
14,3.6857004,4.0529892
14,2.3919402,2.2845855506
14,1.5326696,1.50211072
14,0.6379072,1.3511245692
14,0.1663924,0.2096124124
